Departamento,Municipio,Código_lugar,Año,Tamaño_muestra,Desntr_crón_inft
SANTA ROSA,SAN JUAN TECUACO,0607,1986,219,55.7
SANTA ROSA,SAN RAFAEL LAS FLORES,0605,1986,227,41
SANTA ROSA,SANTA CRUZ NARANJO,0612,1986,263,44.1
SANTA ROSA,SANTA MARÍA IXHUATÁN,0610,1986,591,45.4
SANTA ROSA,SANTA ROSA DE LIMA,0603,1986,409,34.2
SANTA ROSA,TAXISCO,0609,1986,791,30.2
SOLOLA,CONCEPCIÓN,0708,1986,62,85.5
SOLOLA,NAHUALÁ,0705,1986,801,85.4
SOLOLA,PANAJACHEL,0710,1986,203,59.1
SOLOLA,SAN ANDRÉS SEMETABAJ,0709,1986,228,70.6
SOLOLA,SAN ANTONIO PALAPÓ,0712,1986,198,75.3
SOLOLA,SAN JOSÉ CHACAYÁ,0702,1986,62,66.1
SOLOLA,SAN JUAN LA LAGUNA,0717,1986,200,85.5
SOLOLA,SAN LUCAS TOLIMÁN,0713,1986,452,80.8
SOLOLA,SAN MARCOS LA LAGUNA,0716,1986,37,97.3
SOLOLA,SAN PABLO LA LAGUNA,0715,1986,38,92.1
SOLOLA,SAN PEDRO LA LAGUNA,0718,1986,171,67.8
SOLOLA,SANTA CATARINA IXTAHUACÁN,0706,1986,543,86.2
SOLOLA,SANTA CATARINA PALAPÓ,0711,1986,25,84
SOLOLA,SANTA CLARA LA LAGUNA,0707,1986,119,77.3
SOLOLA,SANTA CRUZ LA LAGUNA,0714,1986,51,62.8
SOLOLA,SANTA LUCÍA UTATLÁN,0704,1986,373,64.6
SOLOLA,SANTA MARÍA VISITACIÓN,0703,1986,38,65.8
SOLOLA,SANTIAGO ATITLÁN,0719,1986,448,73.9
SOLOLA,SOLOLÁ,0701,1986,1219,74.7
SUCHITEPEQUEZ,CHICACAO,1013,1986,1150,69.8
SUCHITEPEQUEZ,CUYOTENANGO,1002,1986,1198,46.6
SUCHITEPEQUEZ,MAZATENANGO,1001,1986,1733,45.5
SUCHITEPEQUEZ,PATULUL,1014,1986,642,51.3
SUCHITEPEQUEZ,PUEBLO NUEVO,1019,1986,166,69.3
SUCHITEPEQUEZ,RÍO BRAVO,1020,1986,385,57.7
SUCHITEPEQUEZ,SAMAYAC,1008,1986,373,55.2
SUCHITEPEQUEZ,SAN ANTONIO SUCHITEPÉQUEZ,1010,1986,732,63.3
SUCHITEPEQUEZ,SAN BERNANDINO,1004,1986,164,65.2
SUCHITEPEQUEZ,SAN FRANCISCO ZAPOTITLÁN,1003,1986,423,56.7
SUCHITEPEQUEZ,SAN GABRIEL,1012,1986,56,62.5
SUCHITEPEQUEZ,SAN JOSÉ EL IDOLO,1005,1986,169,45.6
SUCHITEPEQUEZ,SAN JOSÉ LA MÁQUINA,1021,1986,,
SUCHITEPEQUEZ,SAN JUAN BAUTISTA,1016,1986,91,52.8
SUCHITEPEQUEZ,SAN LORENZO,1007,1986,231,55.8
SUCHITEPEQUEZ,SAN MIGUEL PANAN,1011,1986,195,65.1
SUCHITEPEQUEZ,SAN PABLO JOCOPILA,1009,1986,420,68.8
SUCHITEPEQUEZ,SANTA BARBARA,1015,1986,422,72.5
SUCHITEPEQUEZ,SANTO DOMINGO SUCHITEPÉQUEZ,1006,1986,802,46.9
SUCHITEPEQUEZ,SANTO TOMAS LA UNIÓN,1017,1986,177,65.5
SUCHITEPEQUEZ,ZUNILITO,1018,1986,120,67.5
TOTONICAPAN,MOMOSTENANGO,0805,1986,1237,79.9
TOTONICAPAN,SAN ANDRÉS XECUL,0804,1986,283,84.5
TOTONICAPAN,SAN BARTOLO,0808,1986,250,71.6
TOTONICAPAN,SAN CRISTÓBAL TOTONICAPÁN,0802,1986,476,70
TOTONICAPAN,SAN FRANCISCO EL ALTO,0803,1986,713,72
TOTONICAPAN,SANTA LUCIA LA REFORMA,0807,1986,101,67.3
TOTONICAPAN,SANTA MARÍA CHIQUIMULA,0806,1986,320,81.3
TOTONICAPAN,TOTONICAPÁN,0801,1986,2026,76
ZACAPA,CABAÑAS,1907,1986,352,33.5
ZACAPA,ESTANZUELA,1902,1986,180,15.6
ZACAPA,GUALÁN,1904,1986,1044,37.2
ZACAPA,HUITÉ,1910,1986,236,31.4
ZACAPA,LA UNIÓN,1909,1986,476,68.1
ZACAPA,RIO HONDO,1903,1986,408,21.8
ZACAPA,SAN DIEGO,1908,1986,197,43.7
ZACAPA,SAN JORGE,1911,1986,,
ZACAPA,TECULUTÁN,1905,1986,237,29.1
ZACAPA,USUMATLÁN,1906,1986,215,24.2
ZACAPA,ZACAPA,1901,1986,1345,37.8
ALTA VERAPAZ,CAHABÓN,1612,2001,1681,56.6
ALTA VERAPAZ,CHAHAL,1614,2001,878,52.4
ALTA VERAPAZ,CHISEC,1613,2001,3037,45
ALTA VERAPAZ,COBÁN,1601,2001,4437,43.7
ALTA VERAPAZ,FRAY BARTOLOMÉ DE LAS CASAS,1615,2001,1795,47.5
ALTA VERAPAZ,LANQUÍN,1611,2001,545,60.2
ALTA VERAPAZ,PANZÓS,1607,2001,1200,45.8
ALTA VERAPAZ,RAXRUHÁ,1617,2001,,
ALTA VERAPAZ,SAN CRISTÓBAL VERAPAZ,1603,2001,1421,64
ALTA VERAPAZ,SAN JUAN CHAMELCO,1610,2001,1052,60.5
ALTA VERAPAZ,SAN PEDRO CARCHÁ,1609,2001,4702,47.1
ALTA VERAPAZ,SANTA CATALINA LA TINTA,1616,2001,897,48.1
ALTA VERAPAZ,SANTA CRUZ VERAPAZ,1602,2001,637,56
ALTA VERAPAZ,SENAHÚ,1608,2001,1795,56.2
ALTA VERAPAZ,TACTIC,1604,2001,689,61.1
ALTA VERAPAZ,TAMAHÚ,1605,2001,451,61.6
ALTA VERAPAZ,TUCURÚ,1606,2001,903,51.7
BAJA VERAPAZ,CUBULCO,1504,2001,1880,55.4
BAJA VERAPAZ,EL CHOL,1506,2001,414,35.3
BAJA VERAPAZ,GRANADOS,1505,2001,476,34.5
BAJA VERAPAZ,PURULHÁ,1508,2001,1138,59.8
BAJA VERAPAZ,RABINAL,1503,2001,1577,61.1
BAJA VERAPAZ,SALAMÁ,1501,2001,1971,46
BAJA VERAPAZ,SAN JERÓNIMO,1507,2001,741,48
BAJA VERAPAZ,SAN MIGUEL CHICAJ,1502,2001,966,58.3
CHIMALTENANGO,ACATENANGO,0411,2001,644,64.8
CHIMALTENANGO,CHIMALTENANGO,0401,2001,2232,50
CHIMALTENANGO,COMALAPA,0404,2001,1148,70.8
CHIMALTENANGO,EL TEJAR,0416,2001,449,36.1
CHIMALTENANGO,PARRAMOS,0414,2001,212,59.9
CHIMALTENANGO,PATZICÍA,0409,2001,623,62.6
CHIMALTENANGO,PATZÚN,0407,2001,1240,68.2
CHIMALTENANGO,POCHUTA,0408,2001,242,64.5
CHIMALTENANGO,SAN ANDRÉS IZTAPA,0413,2001,620,54.4
CHIMALTENANGO,SAN JOSÉ POAQUIL,0402,2001,910,68.1
CHIMALTENANGO,SAN MARTÍN JILOTEPEQUE,0403,2001,2801,57.6
CHIMALTENANGO,SANTA APOLONIA,0405,2001,422,78.4
CHIMALTENANGO,SANTA CRUZ BALANYÁ,0410,2001,150,72
CHIMALTENANGO,TECPÁN GUATEMALA,0406,2001,2108,69.2
CHIMALTENANGO,YEPOCAPA,0412,2001,846,61.2
CHIMALTENANGO,ZARAGOZA,0415,2001,540,55.7
CHIQUIMULA,CAMOTÁN,2005,2001,1380,65.1
CHIQUIMULA,CHIQUIMULA,2001,2001,2604,45
CHIQUIMULA,CONCEPCIÓN LAS MINAS,2008,2001,462,27.3
CHIQUIMULA,ESQUIPULAS,2007,2001,1346,38.2
CHIQUIMULA,IPALA,2011,2001,851,24.3
CHIQUIMULA,JOCOTÁN,2004,2001,1223,71.8
CHIQUIMULA,OLOPA,2006,2001,546,65.4
CHIQUIMULA,QUETZALTEPEQUE,2009,2001,1004,39.9
